"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"64","51059431001","Census Tract 4310.01, Fairfax County, Virginia","59303",290,401,1187,1878,0.154419595314164,0.213525026624068,0.632055378061768,104466,12304
"65","51059431002","Census Tract 4310.02, Fairfax County, Virginia","59303",114,165,379,658,0.173252279635258,0.250759878419453,0.575987841945289,99327,15319
"66","51059431300","Census Tract 4313, Fairfax County, Virginia","59303",92,184,989,1265,0.0727272727272727,0.145454545454545,0.781818181818182,160859,6227
"67","51059431400","Census Tract 4314, Fairfax County, Virginia","59306",64,276,1171,1511,0.042356055592323,0.182660489741893,0.774983454665784,145893,16008
"68","51059431500","Census Tract 4315, Fairfax County, Virginia","59306",53,230,1577,1860,0.028494623655914,0.123655913978495,0.847849462365591,143922,10428
"69","51059431601","Census Tract 4316.01, Fairfax County, Virginia","59306",25,399,1169,1593,0.0156936597614564,0.250470809792844,0.7338355304457,63198,13148
"70","51059431602","Census Tract 4316.02, Fairfax County, Virginia","59306",118,633,1005,1756,0.0671981776765376,0.360478359908884,0.572323462414579,95417,42159
"71","51059431801","Census Tract 4318.01, Fairfax County, Virginia","59303",179,261,848,1288,0.138975155279503,0.202639751552795,0.658385093167702,122721,21006
"72","51059431802","Census Tract 4318.02, Fairfax County, Virginia","59303",72,149,736,957,0.0752351097178683,0.155694879832811,0.769070010449321,157440,31733
"73","51059431900","Census Tract 4319, Fairfax County, Virginia","59303",56,106,868,1030,0.054368932038835,0.102912621359223,0.842718446601942,173636,15330
"74","51059432000","Census Tract 4320, Fairfax County, Virginia","59303",89,230,786,1105,0.0805429864253394,0.208144796380091,0.71131221719457,141490,23436
"75","51059432100","Census Tract 4321, Fairfax County, Virginia","59303",115,262,1031,1408,0.0816761363636364,0.186079545454545,0.732244318181818,117941,18332
"76","51059432201","Census Tract 4322.01, Fairfax County, Virginia","59303",117,225,570,912,0.128289473684211,0.246710526315789,0.625,94764,9421
"77","51059432202","Census Tract 4322.02, Fairfax County, Virginia","59303",102,230,1164,1496,0.0681818181818182,0.153743315508021,0.77807486631016,142557,14995
"78","51059432300","Census Tract 4323, Fairfax County, Virginia","59303",65,178,1422,1665,0.039039039039039,0.106906906906907,0.854054054054054,169663,5996
"79","51059432401","Census Tract 4324.01, Fairfax County, Virginia","59303",42,82,843,967,0.0434332988624612,0.0847983453981386,0.8717683557394,183566,8870
"80","51059432402","Census Tract 4324.02, Fairfax County, Virginia","59303",127,147,1427,1701,0.0746619635508524,0.0864197530864197,0.838918283362728,157955,22178
"81","51059432500","Census Tract 4325, Fairfax County, Virginia","59303",153,155,1503,1811,0.0844837106570955,0.0855880728879072,0.829928216454997,157426,14290
"82","51059432600","Census Tract 4326, Fairfax County, Virginia","59303",97,149,1304,1550,0.0625806451612903,0.0961290322580645,0.841290322580645,171042,25134
"83","51059432701","Census Tract 4327.01, Fairfax County, Virginia","59306",28,137,868,1033,0.0271055179090029,0.132623426911907,0.84027105517909,168320,25582
"84","51059432702","Census Tract 4327.02, Fairfax County, Virginia","59306",37,310,1150,1497,0.0247160988643955,0.207080828323313,0.768203072812291,115000,17004
"85","51059432800","Census Tract 4328, Fairfax County, Virginia","59306",28,171,524,723,0.0387275242047026,0.236514522821577,0.724757952973721,144375,30254
"86","51059440100","Census Tract 4401, Fairfax County, Virginia","59303",124,351,1959,2434,0.0509449465899754,0.144207066557108,0.804847986852917,193239,30343
"87","51059440201","Census Tract 4402.01, Fairfax County, Virginia","59303",91,257,1471,1819,0.0500274876305662,0.1412864211105,0.808686091258933,132155,17096
"88","51059440202","Census Tract 4402.02, Fairfax County, Virginia","59303",200,727,1067,1994,0.100300902708124,0.364593781344032,0.535105315947843,90859,28579
"89","51059440300","Census Tract 4403, Fairfax County, Virginia","59303",31,72,763,866,0.035796766743649,0.0831408775981524,0.881062355658199,207125,28470
"90","51059440501","Census Tract 4405.01, Fairfax County, Virginia","59303",103,196,1258,1557,0.0661528580603725,0.125883108542068,0.807964033397559,173548,24043
"91","51059440503","Census Tract 4405.03, Fairfax County, Virginia","59303",22,97,141,260,0.0846153846153846,0.373076923076923,0.542307692307692,80000,47901
"92","51059440504","Census Tract 4405.04, Fairfax County, Virginia","59303",0,0,0,0,NA,NA,NA,NA,NA
"93","51059440505","Census Tract 4405.05, Fairfax County, Virginia","59303",31,80,315,426,0.0727699530516432,0.187793427230047,0.73943661971831,143182,32238
"94","51059440600","Census Tract 4406, Fairfax County, Virginia","59303",101,221,650,972,0.103909465020576,0.227366255144033,0.668724279835391,124164,6394
"95","51059440701","Census Tract 4407.01, Fairfax County, Virginia","59303",60,79,757,896,0.0669642857142857,0.0881696428571429,0.844866071428571,159596,5388
"96","51059440702","Census Tract 4407.02, Fairfax County, Virginia","59303",146,175,1429,1750,0.0834285714285714,0.1,0.816571428571429,161599,14756
"97","51059440800","Census Tract 4408, Fairfax County, Virginia","59303",68,378,1506,1952,0.0348360655737705,0.193647540983607,0.771516393442623,177835,13776
"98","51059450100","Census Tract 4501, Fairfax County, Virginia","59301",122,558,1426,2106,0.0579297245963913,0.264957264957265,0.677113010446344,93209,16892
"99","51059450200","Census Tract 4502, Fairfax County, Virginia","59301",92,407,753,1252,0.073482428115016,0.325079872204473,0.601437699680511,104625,16988
"100","51059450300","Census Tract 4503, Fairfax County, Virginia","59301",98,435,1335,1868,0.0524625267665953,0.232869379014989,0.714668094218415,116232,11770
"101","51059450400","Census Tract 4504, Fairfax County, Virginia","59301",31,149,710,890,0.0348314606741573,0.167415730337079,0.797752808988764,165167,20566
"102","51059450500","Census Tract 4505, Fairfax County, Virginia","59301",72,220,559,851,0.0846063454759107,0.258519388954172,0.656874265569918,109135,13907
"103","51059450601","Census Tract 4506.01, Fairfax County, Virginia","59301",68,191,1084,1343,0.0506329113924051,0.142218912881608,0.807148175725987,152037,15120
"104","51059450602","Census Tract 4506.02, Fairfax County, Virginia","59301",99,530,1118,1747,0.0566685746994848,0.303377218088151,0.639954207212364,85699,9453
"105","51059450701","Census Tract 4507.01, Fairfax County, Virginia","59301",50,119,703,872,0.0573394495412844,0.136467889908257,0.806192660550459,163125,13223
